Quantity,Scale,Ingredient,Ingredient_cpl,Number,Unit,ID
2,,oeufs,pour la crème de mascarpone,6,personnes,89612
3,,oeufs,pour la mousse au chocolat,6,personnes,89612
100,g,chocolat pâtissier,,6,personnes,89612
20,cl,crème fleurette,,6,personnes,89612
75,g,sucre en poudre,,6,personnes,89612
1,pot,yaourt,type Fjord,4,personnes,340798
1/2,paquet,levure chimique,,4,personnes,340798
1/2,pot d'huile,tournesol,,4,personnes,340798
2,pots,sucre,,4,personnes,340798
3,pots,farine,,4,personnes,340798
2,,oeufs,,4,personnes,340798
2,grosses cuillères,pâte de pistache,,4,personnes,340798
400,g,compote,de pomme,4,personnes,348132
16,,petits beurre,,4,personnes,348132
1,pot,yaourt nature,(garder le pot pour la mesure des autres ingrédients),5,personnes,66815
2,pots,sucre,,5,personnes,66815
3,pots,farine,,5,personnes,66815
1,sachet,levure chimique,,5,personnes,66815
2,,oeufs,,5,personnes,66815
2,cuillères à café,cannelle,,5,personnes,66815
1,,banane,,5,personnes,66815
10,,carambars©,,4,personnes,172047
50,cl,lait,,4,personnes,172047
30,g,sucre roux,,4,personnes,172047
1,cuillère à soupe,maïzena,,4,personnes,172047
2,,jaunes d'oeuf,,4,personnes,172047
3,,oeufs,,8,personnes,335619
100,g,sucre,,8,personnes,335619
2,,poires,conférence,8,personnes,335619
100,g,margarine,ou de beurre,8,personnes,335619
150,g,chocolat noir,,8,personnes,335619
50,g,maïzena,,8,personnes,335619
50,g d'aman,s,,8,personnes,335619
1,gousse,vanille,,8,personnes,335619
1,pincée,sel,,8,personnes,335619
250,g,carotte,râpées,8,personnes,28043
250,g d'aman,s,en poudre,8,personnes,28043
250,g,sucre roux,(ou sinon blanc),8,personnes,28043
5,,oeufs,,8,personnes,28043
2,,cuillères à soupe d'amaretto,ou autre liqueur aux amandes,8,personnes,28043
1,cuillère à café,levure chimique,,8,personnes,28043
2,cuillères à café d'extrait,vanille,,8,personnes,28043
60,g,sucre,,4,personnes,170303
30,g,beurre,ou margarine,4,personnes,170303
120,g,riz,soufflé,4,personnes,170303
2,,barres chocolatées,,4,personnes,170303
2,cuillères à soupe,miel,,4,personnes,170303
4,,oeufs,,6,personnes,72512
60,g,farine,,6,personnes,72512
80,g,beurre,,6,personnes,72512
200,g,chocolat,,6,personnes,72512
80,g,sucre,,6,personnes,72512
1,cuillère à café,levure,,6,personnes,72512
4,,bananes,,6,personnes,72512
10,cl,crème,,6,personnes,72512
2,cuillères à soupe,rhum,et cassonade (facultatif),6,personnes,72512
8,,oeufs,,10,personnes,66256
125,g,beurre,,10,personnes,66256
4,paquets,sucre vanillé,,10,personnes,66256
2,paquets,levure,,10,personnes,66256
,,Vanille,liquide,10,personnes,66256
150,g,sucre,,10,personnes,66256
1.2,kg,farine,,10,personnes,66256
1,,l d'huile,,10,personnes,66256
1,kg,pomme,,8,personnes,228303
250,g,beurre,mou en morceaux,8,personnes,228303
250,g,sucre,,8,personnes,228303
1,,citron,(pour son zeste),8,personnes,228303
5,,oeufs,,8,personnes,228303
500,g,farine,,8,personnes,228303
1,sachet,levure,,8,personnes,228303
12.5,cl,lait,,8,personnes,228303
1,sachet,sucre vanillé,,8,personnes,228303
1,noix,beurre,(pour beurrer le moule),8,personnes,228303
300,g,sucre,,6,personnes,25282
175,g,poudre d'amandes,,6,personnes,25282
4,,blancs d'oeuf,,6,personnes,25282
100,g,chocolat noir,à fondre,6,personnes,25282
40,cl,crème liquide,,6,personnes,25282
120,g,chocolat pâtissier,,6,personnes,25282
200,g,sucre glace,,6,personnes,25282
2,,oeufs,,7,personnes,43356
100,g,farine,,7,personnes,43356
100,g,sucre en poudre,,7,personnes,43356
1/2,sachet,levure,,7,personnes,43356
1,sachet,sucre vanillé,,7,personnes,43356
4,,cuillères à soupe d'huile,,7,personnes,43356
1,pincée,sel,,7,personnes,43356
,cuillère,noisettes,"toute prête de type nesquik ou poulain, il en faut 5 grosses cuillèrées à soupe environ",7,personnes,43356
500,g,beurre,,6,personnes,41272
400,g,cassonade,,6,personnes,41272
250,g d'aman,s,en poudre,6,personnes,41272
1/2,cuillère à café,vanille,en poudre (ou à défaut de sucre vanillé),6,personnes,41272
3,,oeufs,,6,personnes,41272
600,g,farine,,6,personnes,41272
30,g,cacao,en poudre,6,personnes,41272
1,sachet,levure chimique,,6,personnes,41272
1,pincée,sel,,6,personnes,41272
20,g,semoule,de blé fine,6,personnes,41272
1/4,l,lait,,6,personnes,41272
1/2,gousse,vanille,,6,personnes,41272
75,g,cassonade,,6,personnes,41272
1,,jaune d'oeuf,,6,personnes,41272
15,g,farine,,6,personnes,41272
60,g,crème liquide,,6,personnes,41272
265,g,farine,avec levure incorporée,12,muffins moyens,15988
4,cuillères à soupe,farine,ordinaire,12,muffins moyens,15988
1/2,cuillère à café,levure chimique,,12,muffins moyens,15988
3,cuillères à soupe,cacao,en poudre,12,muffins moyens,15988
150,g,beurre,fondu,12,muffins moyens,15988
165,g,cassonade,,12,muffins moyens,15988
170,ml,lait,,12,muffins moyens,15988
2,,oeufs,,12,muffins moyens,15988
100,g,noix,grossièrement hachées,12,muffins moyens,15988
125,g,chocolat noir,grossièrement coupé (à défaut des pépites),12,muffins moyens,15988
200,g,chocolat noir,,8,personnes,93240
200,g,beurre,,8,personnes,93240
80,g,farine,,8,personnes,93240
80,g,vanille,,8,personnes,93240
4,,oeufs,,8,personnes,93240
1/2,sachet,levure,,8,personnes,93240
1,pointe,sel,,8,personnes,93240
,,Noix,ou de noix de pécan (facultatif),8,personnes,93240
6,,pêches,de vigne,4,personnes,27854
1,barquette,framboises,,4,personnes,27854
3,,jaunes d'oeuf,,4,personnes,27854
50,g,sucre,,4,personnes,27854
10,cl,muscat,,4,personnes,27854
1,cuillère à soupe,beurre,,4,personnes,27854
1,cuillère à soupe,crème fraîche,,4,personnes,27854
1,cuillère à soupe,miel,,4,personnes,27854
4,,blancs d'oeuf,,4,personnes,55277
250,g,sucre,,4,personnes,55277
1,l,lait,,6,personnes,26021
200,g,riz,,6,personnes,26021
150,g,sucre,,6,personnes,26021
3,,oeufs,battus en omelette,6,personnes,26021
60,g,beurre,,6,personnes,26021
6,,bananes,,6,personnes,26021
3,,pommes,reinettes,6,personnes,26021
50,g,raisin,de Corinthe,6,personnes,26021
,,Fruit confit,,6,personnes,26021
2,cuillères à soupe,rhum,,6,personnes,26021
10,morceaux,sucre,,6,personnes,26021
50,g,beurre,,6,personnes,38545
125,g,sucre en poudre,,6,personnes,38545
4,,jaunes d'oeuf,,6,personnes,38545
125,g,farine,,6,personnes,38545
1,cuillère à café,levure chimique,,6,personnes,38545
5,cuillères à soupe,lait,,6,personnes,38545
4,,blancs d'oeuf,,6,personnes,38545
250,g,sucre en poudre,,6,personnes,38545
,Aman,s,effilées,6,personnes,38545
20,cl,crème fraîche,,6,personnes,38545
125,g,fraises,,6,personnes,38545
,,Sucre glace,,6,personnes,38545
150,g,chocolat noir,dessert,10,muffins,38017
50,g,chocolat,,10,muffins,38017
250,g,farine,,10,muffins,38017
1/2,sachet,levure,,10,muffins,38017
100,g,sucre,,10,muffins,38017
25,cl,lait,(un grand verre),10,muffins,38017
50,g,beurre,,10,muffins,38017
2,,oeufs,,10,muffins,38017
500,g,fraises,,6,Personnes,308045
40,cl,crème fraîche liquide,,6,Personnes,308045
4,feuilles,gélatine,,6,Personnes,308045
100,g,sucre en poudre,,6,Personnes,308045
2,cuillères à café,menthe,hachée (fraîche ou surgelée),6,Personnes,308045
110,g,Smarties,,6,Personnes,311115
150,g,chocolat noir,,6,Personnes,311115
150,g,sucre,,6,Personnes,311115
1,pincée,sel,,6,Personnes,311115
2,,oeufs,,6,Personnes,311115
80,g,beurre,,6,Personnes,311115
50,g,farine,,6,Personnes,311115
30,,biscuits à la cuillère,,8,personnes,66559
300,g,chocolat noir,,8,personnes,66559
2,cuillères à soupe,sucre roux,,8,personnes,66559
80,g,beurre,,8,personnes,66559
6,,oeufs,,8,personnes,66559
200,ml,lait,,8,personnes,66559
100,g,noix de coco,+ 30 g pour la décoration,8,personnes,66559
125,g,petit beurre,,4,personnes,30523
60,g,beurre,,4,personnes,30523
500,g,fromage blanc,bien égoutté,4,personnes,30523
1,tasse,thé,de sucre en poudre (environ 200 g),4,personnes,30523
2,,oeufs,,4,personnes,30523
1,zeste,citron,finement râpé,4,personnes,30523
1,cuillère à soupe,jus de citron,,4,personnes,30523
1,tasse,thé,de crème épaisse (environ 15 cl),4,personnes,30523
5,feuilles,gélatine,,4,personnes,30523
80,g,farine,,4,personne,343954
40,g,maïzena,,4,personne,343954
2,,oeufs,entiers,4,personne,343954
40,cl,lait,,4,personne,343954
1,pincée,sel,,4,personne,343954
100,g,sucre,,4,personne,343954
2,sachets,sucre vanillé,,4,personne,343954
2,,bananes,mûres,4,personne,343954
2,,poires,mûres,4,personne,343954
3,carrés,chocolat,,4,personne,343954
1,cuillère à soupe,calvados,(facultatif),4,personne,343954
3,,oeufs,,6,personnes,81983
100,g,sucre en poudre,,6,personnes,81983
1,sachet,sucre vanillé,,6,personnes,81983
3,,cuillères à soupe d'eau,chaude,6,personnes,81983
1,pincée,sel,,6,personnes,81983
30,g,farine,,6,personnes,81983
50,g,maïzena,,6,personnes,81983
1,cuillère à café,levure chimique,,6,personnes,81983
,,Pâte à tartiner,ou confiture au choix pour la garniture,6,personnes,81983
300,g,farine,,50,sablés environ,37490
225,g,beurre,à température ambiante,50,sablés environ,37490
225,g,sucre,ou de cassonade,50,sablés environ,37490
2,,oeufs,,50,sablés environ,37490
50,g,chocolat noir,,50,sablés environ,37490
80,g,noix,,50,sablés environ,37490
,,Noisettes,ou amandes hachées,50,sablés environ,37490
1,cuillère à café,vanille,,50,sablés environ,37490
1,cuillère à café,cannelle,,50,sablés environ,37490
1,cuillère à café,gingembre,ou de 4 épices,50,sablés environ,37490
1,zeste,citron,ou d'orange...,50,sablés environ,37490
50,cl,lait,,4,personnes,166235
4,,oeufs,"de calibre normal ou 3 ""maxi""",4,personnes,166235
1,sachet,sucre vanillé,ou un peu d'extrait ou encore un morceau de gousse fendue,4,personnes,166235
80,g,sucre,,4,personnes,166235
80,g,sucre,,4,personnes,166235
3,,oeufs,,6,personnes,10535
50,g,sucre roux,(de préférence),6,personnes,10535
1,sachet,sucre vanillé,(selon les goûts),6,personnes,10535
1,,boîte d'ananas,,6,personnes,10535
50,g,poudre d'amandes,,6,personnes,10535
50,g,farine,,6,personnes,10535
225,g,farine,,8,personnes,314267
50,g,chocolat noir,,8,personnes,314267
50,g,chocolat blanc,,8,personnes,314267
45,g,cacao,,8,personnes,314267
130,g,sucre,,8,personnes,314267
125,g,beurre,,8,personnes,314267
3,,oeufs,,8,personnes,314267
10,cl,lait,,8,personnes,314267
1/2,sachet,levure,,8,personnes,314267
3,,yaourts,natures et 3 yaourts aux framboises (ou autres fruits rouge),6,personnes,56045
10,,petits beurre,ou plus,6,personnes,56045
2,poignées,fruits rouges,surgelés,6,personnes,56045
1,,sucre en poudre,,6,personnes,56045
1,cuillère,confiture,(n'importe quel fruit rouge),6,personnes,56045
125,g,farine,,6,personnes,86947
20,,cl d'eau,,6,personnes,86947
70,g,beurre,,6,personnes,86947
3,,oeufs,,6,personnes,86947
1,cuillère à soupe,sucre,,6,personnes,86947
1,pincée,sel,,6,personnes,86947
1,feuille,gélatine,,6,personnes,86947
15,cl,mangue,mixée,6,personnes,86947
1,cuillère à café,citron,,6,personnes,86947
10,cl,crème fraîche,,6,personnes,86947
30,g,sucre glace,,6,personnes,86947
120,g,sucre glace,,6,personnes,86947
10,g,beurre,,6,personnes,86947
1,cuillère à café,gingembre,en poudre,6,personnes,86947
1/2,cuillère à café,jus de citron,,6,personnes,86947
1,pot,yaourt,,10,personnes,51455
3,pots,farine,,10,personnes,51455
2,pots,sucre,,10,personnes,51455
2,pots,chocolat en poudre,,10,personnes,51455
1,,pot d'huile,,10,personnes,51455
3,,oeufs,,10,personnes,51455
1,sachet,levure,,10,personnes,51455
1,,oeuf,,1,personne,62056
10,cl,lait,,1,personne,62056
1,cuillère à café bien bombée,maïzena,,1,personne,62056
1,cuillère à café bien bombée,cacao,en poudre,1,personne,62056
1,,cuillère à café bien bombée d'aspartame,spécial cuisson,1,personne,62056
1,pincée,cannelle,en poudre,1,personne,62056
200,g,farine,,15,cupcakes,174212
125,g,sucre,,15,cupcakes,174212
125,g,beurre,,15,cupcakes,174212
1,sachet,levure,,15,cupcakes,174212
1,sachet,sucre vanillé,,15,cupcakes,174212
2,,oeufs,,15,cupcakes,174212
12.5,cl,lait,,15,cupcakes,174212
1,pot,nutella,(la grande taille puisque tout ce qui reste n'est jamais perdu...),15,cupcakes,174212
1,pot,mascarpone,,15,cupcakes,174212
2,cuillères à soupe,crème fraîche,,15,cupcakes,174212
,,Sucre glace,(1 ou 2 cuillères ou plus selon le goût),15,cupcakes,174212
,,Colorant alimentaire,,15,cupcakes,174212
150,g,chocolat noir,à croquer,8,personnes,15680
80,g,farine,,8,personnes,15680
100,g,sucre,,8,personnes,15680
80,g,beurre allégé,,8,personnes,15680
4,,oeufs,,8,personnes,15680
,,Levure chimique,,8,personnes,15680
,Noix,coco rapée,(quantité selon vos goûts),8,personnes,15680
75,g,beurre,,4,personnes,233000
50,g,sucre,,4,personnes,233000
2,,oeufs,,4,personnes,233000
100,g,farine,,4,personnes,233000
50,g,maïzena,,4,personnes,233000
1,sachet,levure,,4,personnes,233000
1,,boîte d'ananas,(300 g),4,personnes,233000
25,g,chocolat,,4,personnes,233000
75,g,beurre,,8,personnes,37577
150,g,farine,,8,personnes,37577
110,g,sucre,,8,personnes,37577
1,zeste,citron,non traité,8,personnes,37577
3,,oeufs,,8,personnes,37577
1,sachet,levure chimique,,8,personnes,37577
2,,pommes,,8,personnes,37577
1,paquet,biscuit thé de lu,,4,personnes,41171
,Crème,ssert au chocolat,(type danette),4,personnes,41171
6,,pommes,moyennes,6,personnes,32227
4,,oeufs,,6,personnes,32227
200,g,sucre de canne,,6,personnes,32227
1,cuillère à café,cannelle,en poudre,6,personnes,32227
80,g,raisins secs,(blonds),6,personnes,32227
5,cuillères à soupe,farine,,6,personnes,32227
1,pincée,sel,,6,personnes,32227
1,kg,carotte,,10,parts,14938
25,cl,lait,,10,parts,14938
300,g,sucre en poudre,,10,parts,14938
200,g,beurre,,10,parts,14938
1/2,cuillère à soupe,cardamome,en poudre,10,parts,14938
3,cuillères à soupe,pistaches,non salées et grillées,10,parts,14938
3,cuillères à soupe d'aman,s,"non salées, effilées, grillées",10,parts,14938
200,g,margarine,,6,Personnes,308588
250,g,farine,,6,Personnes,308588
4,cuillères à soupe,farine de soja,,6,Personnes,308588
8,,cuillères à soupe d'eau,,6,Personnes,308588
200,g,sucre,,6,Personnes,308588
1,sachet,sucre vanillé,,6,Personnes,308588
1,sachet,levure chimique,,6,Personnes,308588
1,cuillère à café,chocolat en poudre,,6,Personnes,308588
100,g,copeaux de chocolat,,6,Personnes,308588
100,g,noisettes,en poudre,6,Personnes,308588
125,ml,vin rouge,"(nul besoin d'un grand cru, au contraire, cette recette est idéale pour écouler les piquettes !)",6,Personnes,308588
1,cuillère à café,cannelle,(facultatif),6,Personnes,308588
3,,yaourts natures,"(125 g, conservez-en 2, et lavez-en 1)",10,personnes,221200
6,pots,farine,,10,personnes,221200
4,pots,sucre de canne,"(2 pots si ""light"")",10,personnes,221200
6,,oeufs,,10,personnes,221200
1,sachet,levure,,10,personnes,221200
50,cl,fromage blanc,,10,personnes,221200
250,g,fruits rouges,"(surgelés en mélange, ou frais selon vos goûts)",10,personnes,221200
1,sachet,vanille,en poudre,10,personnes,221200
2,sachets,sucre vanillé,,10,personnes,221200
2,cuillères à soupe,sucre,cristal,10,personnes,221200
,,Sucre glace,,10,personnes,221200
,,Fruits rouges,frais,10,personnes,221200
100,g,chocolat noir,,6,personnes,37937
150,g,beurre,+ beurre pour le moule,6,personnes,37937
3,,oeufs,,6,personnes,37937
250,g,sucre en poudre,,6,personnes,37937
1,sachet,sucre vanillé,,6,personnes,37937
100,g,farine,tamisée,6,personnes,37937
100,g,cerneau de noix,de pécan,6,personnes,37937
100,g,chocolat noir,,6,personnes,37937
50,g,beurre,,6,personnes,37937
2,cuillères à soupe,crème fraîche épaisse,,6,personnes,37937
8,cerneaux,noix,de pécan,6,personnes,37937
1,cuillère à soupe,sucre glace,,6,personnes,37937
150,g,chocolat noir,en tablette,6,personnes,80018
20,cl,crème liquide,,6,personnes,80018
20,cl,lait,,6,personnes,80018
1,cuillère à soupe,vanille,liquide,6,personnes,80018
40,g,cassonade,,6,personnes,80018
3,,jaunes d'oeuf,,6,personnes,80018
1,cuillère à soupe,maïzena,,6,personnes,80018
5,,jaunes d'oeuf,,6,personnes,23263
150,g,sucre,,6,personnes,23263
40,cl,lait,,6,personnes,23263
25,cl,crème liquide,,6,personnes,23263
1,bouquet,basilic,,6,personnes,23263
1,cuillère à café,pastis,(selon les goûts),6,personnes,23263
360,g,mousse au chocolat,"(chacun à sa recette, la votre sera parfaite !)",6,personnes,36838
6,,meringues,blanches,6,personnes,36838
6,,clémentines,confites (ou oranges confites ou noix de coco râpée pour la décoration),6,personnes,36838
120,g,riz rond,,4,personnes,82397
100,g,sucre,,4,personnes,82397
1,sachet,sucre vanillé,,4,personnes,82397
60,cl,lait,,4,personnes,82397
2,cuillères à café d'extrait,vanille,,4,personnes,82397
225,g,farine,,2,personnes,10961
50,g,sucre,,2,personnes,10961
1,sachet,levure chimique,,2,personnes,10961
1,cuillère à café,cannelle,,2,personnes,10961
1/2,cuillère à café,sel,,2,personnes,10961
100,g,carotte,mixées,2,personnes,10961
50,g,noix,brisée,2,personnes,10961
50,g,poudre de coco,,2,personnes,10961
1/2,,pomme,mixée,2,personnes,10961
2,,oeufs,,2,personnes,10961
20,,cl d'huile,,2,personnes,10961
1,cuillère à café,vanille,,2,personnes,10961
125,g,beurre,,6,Personnes,338031
125,g,farine,,6,Personnes,338031
125,g,sucre,,6,Personnes,338031
2,,oeufs,,6,Personnes,338031
1,,citron,,6,Personnes,338031
1,sachet,levure,(11 g),6,Personnes,338031
500,g,farine sans gluten,,10,personnes,70824
300,g,sucre en poudre,,10,personnes,70824
250,g,beurre,tempéré,10,personnes,70824
6,,oeufs,,10,personnes,70824
20,cl,lait,tiède,10,personnes,70824
75,g,chocolat,,10,personnes,70824
40,g,pâte de pistache,,10,personnes,70824
1,sachet,levure,sans gluten,10,personnes,70824
1,sachet,sucre vanillé,,10,personnes,70824
1,,pâte brisée,,8,personnes,44984
1,,boîte d'ananas,de 500 g (ou ananas frais),8,personnes,44984
3,,oeufs,,8,personnes,44984
75,g,sucre,en pdre,8,personnes,44984
1,cuillère à soupe,crème fraîche épaisse,,8,personnes,44984
1,bonne cuillère à soupe,rhum,blanc,8,personnes,44984
220,g,blanc d'oeuf,,48,macarons,334602
300,g,poudre d'amandes,,48,macarons,334602
300,g,sucre glace,,48,macarons,334602
8,,cl d'eau,,48,macarons,334602
50,g,cacao,en poudre,48,macarons,334602
300,g,sucre en poudre,,48,macarons,334602
,,Colorant,rouge carmin,48,macarons,334602
375,g,chocolat blanc,,48,macarons,334602
350,g,framboises,entières fraiches ou surgelées,48,macarons,334602
2,cl,jus de citron,,48,macarons,334602
4,,oeufs,,8,personnes,52609
250,g,farine,,8,personnes,52609
250,g,sucre,,8,personnes,52609
200,g,beurre,,8,personnes,52609
1,sachet,levure chimique,(10g),8,personnes,52609
1,pincée,sel,,8,personnes,52609
3,,bananes,,8,personnes,52609
150,g,chocolat,,8,personnes,52609
1,,pâte brisée,ou sablée,6,personnes,29391
250,g,pavot,"(en magasin bio, diététique ou dans n'importe quelle supérette en Allemagne ou en Suisse)",6,personnes,29391
50,g,raisins secs,,6,personnes,29391
50,g,maïzena,,6,personnes,29391
3,cuillères à soupe,miel,,6,personnes,29391
50,g,beurre,,6,personnes,29391
200,g,sucre,,6,personnes,29391
500,g,fromage blanc,,6,personnes,29391
3,,oeufs,,6,personnes,29391
1/4,l,lait,,6,personnes,29391
,,Vanille,(facultatif),6,personnes,29391
1,,pâte feuilletée,,6,personnes,93215
2,,pêches,blanches,6,personnes,93215
2,,pêches,de vignes,6,personnes,93215
2,,oeufs,,6,personnes,93215
15,cl,crème semi-épaisse,,6,personnes,93215
75,g,sucre roux,,6,personnes,93215
1,sachet,sucre vanillé,,6,personnes,93215
1,cuillère à soupe,rhum,,6,personnes,93215
2,,oeufs,,20,Muffins,94144
100,g,sucre roux,ou blanc,20,Muffins,94144
100,g d'huile,tournesol,(possibilité de réduire la dose),20,Muffins,94144
250,g,carotte,finement hachées,20,Muffins,94144
170,g,farine de blé,(ou 90 g de maïzena + 90 g de farine de maïs pour une recette sans gluten),20,Muffins,94144
1,sachet,levure chimique,(ou 1 sachet de poudre levante pour une recette sans gluten),20,Muffins,94144
1,cuillère à café,cannelle,,20,Muffins,94144
1/2,cuillère à café,gingembre,,20,Muffins,94144
50,g,lait de coco,,20,Muffins,94144
4,,oeufs,,2,personnes,20470
1,paquet,levure,,2,personnes,20470
25,g d'aman,s,en poudre,2,personnes,20470
,,Semoule,,2,personnes,20470
,Huile,friture,,2,personnes,20470
1,bol,miel,,2,personnes,20470
2,,cl d'eau,de fleur d’oranger ou une goutte d’essence de rose,2,personnes,20470
4,,oeufs,,6,personnes,167242
50,g,sucre roux,,6,personnes,167242
,Langue,chat,,6,personnes,167242
,,Biscuit à la cuillère,(les plus gros que vous trouverez),6,personnes,167242
,,Vanille,en poudre ou équivalent,6,personnes,167242
500,g,mascarpone,,6,personnes,167242
,,Caramel,(ou café ou Bailey's original),6,personnes,167242
50,g,farine de riz,,6,personne,343009
40,g,farine,de millet,6,personne,343009
10,g,maïzena,,6,personne,343009
50,g,sucre,blanc,6,personne,343009
50,g,cassonade,,6,personne,343009
20,g,cacao,en poudre type Van Houten,6,personne,343009
5,,oeufs,,6,personne,343009
200,g,chocolat noir,à 70% de cacao,6,personne,343009
400,g,tofu soyeux,,6,personne,343009
200,g,framboises,fraîches ou en sirop,6,personne,343009
30,g,chocolat,,6,personne,343009
50,g d'huile,coco,,6,personne,343009
50,cl,lait entier,,10,personnes,53115
7,,jaunes d'oeuf,,10,personnes,53115
2,sachets,sucre vanillé,Bourbon,10,personnes,53115
100,g,sucre,,10,personnes,53115
50,cl,crème fraîche,UHT,10,personnes,53115
,Cassona,,,10,personnes,53115
8,,crème,brûlées,10,personnes,53115
2,,oeufs,,9,gros cupcakes,312890
110,g,beurre,fondu,9,gros cupcakes,312890
150,g,sucre,,9,gros cupcakes,312890
200,g,farine,,9,gros cupcakes,312890
1,sachet,levure,,9,gros cupcakes,312890
5,cl,lait,,9,gros cupcakes,312890
2,,bananes,bien mûres,9,gros cupcakes,312890
2,cuillères à café,cassonade,,9,gros cupcakes,312890
2,,rhum,,9,gros cupcakes,312890
1,pot,nutella,,9,gros cupcakes,312890
1,,ananas,,5,personnes,219617
2,,mangues,,5,personnes,219617
3,,bananes,,5,personnes,219617
1,,citron vert,,5,personnes,219617
100,g,beurre,+ 15 g pour le plat,5,personnes,219617
100,g,cassonade,,5,personnes,219617
60,g,noix de coco,râpé,5,personnes,219617
40,g,sucre en poudre,,5,personnes,219617
40,g,pistaches,mondées nature,5,personnes,219617
100,g,farine,,5,personnes,219617
1,pincée,cannelle,,5,personnes,219617
1,pincée,sel,,5,personnes,219617
200,g,chocolat pâtissier,,8,personnes,51278
50,g,gingembre,frais,8,personnes,51278
175,g,beurre tendre,,8,personnes,51278
3,,oeufs,,8,personnes,51278
160,g,sucre,,8,personnes,51278
100,g,poudre d'amandes,,8,personnes,51278
40,g,farine,,8,personnes,51278
1,pincée,sel,,8,personnes,51278
1/2,l,lait,,6,personnes,35963
3,,oeufs,,6,personnes,35963
150,g,sucre,,6,personnes,35963
1,sachet,sucre vanillé,,6,personnes,35963
40,g,farine,,6,personnes,35963
40,g,maïzena,,6,personnes,35963
1,rouleau,pâte feuilletée,,6,personnes,35963
5,cuillères à soupe,sucre,,6,personnes,211923
1,,cuillère à café d'eau,,6,personnes,211923
2,,pommes,,6,personnes,211923
3,,oeufs,,6,personnes,211923
50,g,sucre,,6,personnes,211923
100,g,crème fraîche,,6,personnes,211923
135,g,farine,,6,personnes,211923
1/2,sachet,levure,,6,personnes,211923
50,g,beurre salé,,6,personnes,211923
75,g,farine de maïs,,8,personnes,335229
75,g d'aman,s,en poudre,8,personnes,335229
150,g,sucre,,8,personnes,335229
3,,oeufs,entiers,8,personnes,335229
2,,blancs d'oeuf,,8,personnes,335229
2,,oranges,,8,personnes,335229
1/2,sachet,levure,,8,personnes,335229
1,pincée,sel,,8,personnes,335229
1,pincée,bicarbonate,,8,personnes,335229
100,g,beurre doux,,12,pièces,82231
100,g,sucre en poudre,,12,pièces,82231
100,g,farine,,12,pièces,82231
1,cuillère à café,levure,,12,pièces,82231
2,,oeufs,,12,pièces,82231
1,zeste,citron,non traités,12,pièces,82231
50,g,beurre doux,coupé en dès,12,pièces,82231
175,g,sucre en poudre,,12,pièces,82231
2,,oeufs,,12,pièces,82231
1,zeste,citron,non traités,12,pièces,82231
1,,blanc d'oeuf,,12,pièces,82231
150,g,sucre en poudre,,12,pièces,82231
1,cuillère à soupe,jus de citron,vert,12,pièces,82231
350,g,sucre,,8,personnes,10810
250,g,poudre d'amandes,,8,personnes,10810
50,g,cacao,en poudre,8,personnes,10810
4,,blancs d'oeuf,,8,personnes,10810
1,pincée,sel,,8,personnes,10810
20,g,beurre,,8,personnes,10810
200,g,farine,,6,personnes,168128
180,g,sucre en poudre,,6,personnes,168128
1,sachet,sucre vanillé,,6,personnes,168128
4,,oeufs,entiers,6,personnes,168128
1,grosse pincée,sel,,6,personnes,168128
1,sachet,levure chimique,,6,personnes,168128
100,ml d'huile,tournesol,,6,personnes,168128
1,,rhum,brun,6,personnes,168128
4,,pommes,,6,personnes,168128
,,Sucre glace,,6,personnes,168128
3,,oeufs,,6,personnes,27921
200,g,sucre semoule,,6,personnes,27921
150,g,farine,,6,personnes,27921
150,g,beurre,,6,personnes,27921
1/2,sachet,levure chimique,,6,personnes,27921
1,sachet,sucre vanillé,,6,personnes,27921
80,g,confiture de fraises,,6,personnes,27921
25,,cl d'eau,,5,litre de glace,54044
80,g,sucre semoule,,5,litre de glace,54044
1,cuillère à café,jus de citron,jaune,5,litre de glace,54044
1,,blanc d'oeuf,,5,litre de glace,54044
20,cl,crème fraîche liquide,entière,5,litre de glace,54044
100,g,biscuit,roses,5,litre de glace,54044
5,cl,champagne,,5,litre de glace,54044
200,g,chocolat pâtissier,,6,personnes,44928
3,,oeufs,,6,personnes,44928
60,g,lait écrémé,en poudre,6,personnes,44928
100,g,farine,,6,personnes,44928
60,g,sucre,,6,personnes,44928
1,sachet,sucre vanillé,,6,personnes,44928
3,,cuillères à soupe d'eau,,6,personnes,44928
2,,blancs d'oeuf,,6,personnes,72746
60,g,sucre en poudre,,6,personnes,72746
70,g,sucre glace,,6,personnes,72746
2,sachets,sucre vanillé,,6,personnes,72746
1,pincée,sel,,6,personnes,72746
,,Papier sulfurisé,,6,personnes,72746
300,g,farine,,12,personnes,30183
300,g,sucre,,12,personnes,30183
125,g,beurre,,12,personnes,30183
100,g,cacao,non sucré,12,personnes,30183
200,g,yaourt,bulgare nature (ou grec),12,personnes,30183
100,g,noix de coco,en poudre,12,personnes,30183
1,,verre d'eau,chaude,12,personnes,30183
1,cuillère à café,vanille,en poudre,12,personnes,30183
1,cuillère à café,bicarbonate,,12,personnes,30183
1,cuillère à café,sel,,12,personnes,30183
2,,oeufs,,12,personnes,30183
200,g,chocolat noir,,12,personnes,30183
200,g,crème fraîche épaisse,,12,personnes,30183
1,,crème chantilly,,12,personnes,30183
